"Name","2019 Population","2018 Population","Change"
"Dublin",1201426,1188418,0.010945643704487917
"Tripoli",1157746,1149730,0.006972071703791327
"Amsterdam",1131690,1123080,0.00766641735228113
"Cologne",1096152,1081763,0.013301434787472033
"Islamabad",1061412,1025290,0.03523100781242383
"Oslo",1012225,997451,0.014811755163912865
"Rotterdam",1007780,1007153,0.0006225469218679169
"Toulouse",996644,982608,0.014284434891635334
"Bordeaux",945493,933539,0.01280503546182854
"Nice",941925,942334,-0.0004340286989539255
"Southampton",911808,903845,0.008810138906560239
"Jerusalem",907062,890333,0.018789598947809516
"Liverpool",893009,888971,0.004542330402229178
"Valencia",829879,824091,0.007023496191561396
"Birmingham",828704,818664,0.012263883595712066
"Thessaloniki",810791,810208,0.0007195683083849325
"Winnipeg",800249,790015,0.012954184414220027
"Nottingham",774751,768422,0.008236359708597707
"Frankfurt",759657,748738,0.014583205340185756
"Hamilton",759203,753738,0.007250530025021851
"Sheffield",720085,715199,0.00683166503308863
"Florence",707144,705312,0.002597432058436544
"Zagreb",685587,685942,-0.0005175364680979344
"The Gold Coast",675483,661099,0.021757709510980883
"Gaza",673638,654538,0.029180887893445417
"Bristol",670934,663272,0.011551821876997659
"Nantes",661737,653590,0.012465000994507314
"Bali",655390,642547,0.01998764292728783
"Riga",637089,639982,-0.004520439637364815
"Venice",635247,633111,0.003373815965920679
"Stuttgart",630291,627658,0.004194959675491994
"Dusseldorf",624876,619759,0.00825643516270036
"Belfast",623029,619394,0.005868639347491156
"Brighton",596260,590991,0.008915533400677855
"Kingston",589083,588487,0.001012766637155993
"Kitchener",545311,535205,0.0188824842817239
"Leicester",542547,537783,0.00885859166243641
"Edinburgh",524639,518547,0.011748211830364452
"Cardiff",470816,467501,0.007090893923221486
"Montpellier",450077,443917,0.013876467898278344
"Canberra",447692,441318,0.014443099986857444
"Newcastle",444688,440415,0.009702212685762213
"Bratislava",429920,427245,0.00626104459970267
"Wellington",411346,408165,0.007793416877978299
"Coventry",410937,403506,0.01841608303222264
"Halifax",409124,406437,0.006611110701043366
"Christchurch",395386,392436,0.007517149293133185
"Stoke On Trent",382884,381474,0.0036961889932209946
"Victoria",378170,373278,0.013105513852946116
"Port Moresby",366862,359441,0.02064594745730175
"Sarajevo",342577,342509,0.00019853492900923086
"Reading",336731,334088,0.007911089293838769
"Windsor",333483,331450,0.006133655151606687
"Hull",319093,318389,0.00221113166598097
"Swansea",308805,307626,0.00383257592011077
